energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,uri,genre
0.551,0.0907,79.65,0.213,0.73,0.00166,1,0.3939999999999999,8,174568,-6.456,0.451,0,spotify:track:2t16D9V5FmmRAJjsSpwvZf,pop
0.77,0.0788,106.971,0.0644,0.302,8.7e-05,4,0.664,11,218667,-7.37,0.516,0,spotify:track:0vRzkS5q93dBcMCxDrJpxX,
0.589,0.176,146.928,0.2319999999999999,0.0812,0.0,4,0.7559999999999999,0,205593,-5.093,0.8109999999999999,1,spotify:track:0OwX5aROoW1Iip8FV51Efg,dance pop pop post-teen pop tropical house uk pop
0.491,0.61,81.095,0.218,0.0756,0.0,4,0.6990000000000001,1,367151,-9.911,0.24,1,spotify:track:4QV4EEYszD7HGrTo6PzX9K,gangster rap hip hop pop rap rap southern hip hop trap
0.674,0.138,105.0,0.04,0.0184,0.0149,4,0.705,11,343800,-8.432,0.103,0,spotify:track:6vjWim6xU6tPjA42GxSp1U,aussietronica edm gauze pop house indie soul tropical house
0.551,0.0537,146.092,0.317,0.0488,0.00728,4,0.875,6,200613,-6.744,0.861,0,spotify:track:5Ssv6DaKrW0HczVqx6zXdl,dance pop pop post-teen pop r&b
0.431,0.1009999999999999,129.797,0.0374,0.306,0.0,4,0.535,0,230233,-8.071,0.0954,1,spotify:track:6LMTqDK4uVR8XsCzel1nkH,edm pop tropical house
0.129,0.122,137.734,0.0348,0.915,0.872,3,0.303,0,118747,-18.549,0.073,0,spotify:track:18jxPJ0aA7zq0ijztjSvTY,compositional ambient focus neo-classical soundtrack
0.426,0.0847,88.802,0.218,0.2319999999999999,0.0754,4,0.46,0,157477,-7.286,0.432,0,spotify:track:18wCJcoFmXZ0jfrFhF6cYS,pop
0.816,0.335,95.39,0.0465,0.122,0.0,4,0.5479999999999999,0,174000,-4.209,0.557,1,spotify:track:1e9oZCCiX42nJl0AcqriVo,pop post-teen pop
0.486,0.098,125.021,0.0353,0.408,0.0,4,0.768,3,166266,-5.954,0.519,1,spotify:track:0vQcyuMEfRBd21ojZ62N2L,dance pop pop uk pop
0.273,0.109,132.285,0.038,0.94,0.431,5,0.365,4,248965,-16.526,0.238,0,spotify:track:4HbeGjbt7u3pvwDk1vN7P0,
0.314,0.0892,75.056,0.0407,0.942,0.6759999999999999,4,0.252,5,247808,-18.197,0.2,0,spotify:track:0SUDiaR0qm30fXVGPjPvRp,
0.539,0.0589,107.531,0.0277,0.000655,0.005,4,0.701,2,312627,-8.968,0.752,1,spotify:track:0z1b34WikhOH9ZxU8QDWcv,alternative rock mellow gold neo mellow pop rock rock
0.84,0.1689999999999999,108.022,0.0453,0.00534,0.342,4,0.6629999999999999,9,271136,-5.617999999999999,0.2,0,spotify:track:4x6aawsLyPkF3aGPXGvbat,chillwave ninja
0.753,0.0559,116.948,0.0832,0.00472,0.000496,4,0.672,4,211843,-4.863,0.421,1,spotify:track:2WmsRaMVqKzM78EtK0jBzu,pop uk pop
0.478,0.355,142.998,0.1009999999999999,0.1369999999999999,0.00481,4,0.794,11,166528,-8.44,0.278,0,spotify:track:4X8BdS36foKWrwH76QcKNS,indie rock modern rock
0.799,0.15,103.014,0.0261,0.0128,0.0,4,0.606,9,232907,-4.452,0.638,1,spotify:track:5iFwAOB2TFkPJk8sMlxP8g,indie rockism
0.489,0.123,112.641,0.0354,0.5820000000000001,0.0,4,0.466,10,167979,-6.151,0.401,1,spotify:track:0gmgCD6OoJMcoK5af0exA2,big room dance pop edm electro house pop tropical house
0.7120000000000001,0.0677,149.998,0.1119999999999999,0.0185,0.0,4,0.758,7,193387,-3.781,0.795,1,spotify:track:2q4rjDy9WhaN3o9MvDbO21,atl hip hop dance pop dirty south rap pop rap rap southern hip hop trap
0.8440000000000001,0.0723,113.324,0.0334,0.25,0.000678,4,0.7879999999999999,2,251240,-3.131,0.382,1,spotify:track:6ic8OlLUNEATToEFU3xmaH,dance pop pop pop rap post-teen pop
0.5870000000000001,0.105,111.97,0.0336,0.0505,0.00714,4,0.855,8,177466,-4.589,0.64,1,spotify:track:1vxw6aYJls2oq3gW0DujAo,atl hip hop neo soul
0.693,0.0858,129.989,0.0981,0.144,7.06e-06,4,0.884,9,187202,-8.597999999999999,0.5870000000000001,0,spotify:track:3ju9dPdSqHHludcvb1V4M8,reggaeton chileno reggaeton flow
0.423,0.0777,145.039,0.0453,0.457,0.000306,4,0.6890000000000001,6,225549,-8.602,0.355,0,spotify:track:1uRj7VzkLDX0Eip0Y3lqpy,electropop indie pop la indie pop
0.58,0.436,110.264,0.0278,0.357,0.0003529999999999,4,0.629,7,210300,-6.207999999999999,0.655,0,spotify:track:7KX65PC1UZuImsUInThbav,british soul funk neo soul soul
0.201,0.0862,119.911,0.0347,0.888,0.0,4,0.573,6,268893,-8.192,0.173,1,spotify:track:1Y4P4dtL1a0Tz9sIZuSeC0,
0.7559999999999999,0.106,117.016,0.047,0.00632,0.00577,4,0.736,11,231847,-7.099,0.7120000000000001,1,spotify:track:2NjO87HyT80fsgejd3PLYW,australian pop dance pop electropop pop post-teen pop viral pop
0.0909,0.14,90.075,0.0373,0.959,4.59e-05,3,0.417,7,162326,-15.526,0.1009999999999999,1,spotify:track:31FBEeTXpaeCncCbCmS7ax,art pop pop
0.3879999999999999,0.107,142.961,0.033,0.603,0.0,3,0.59,5,166200,-9.288,0.506,0,spotify:track:3gy8PSkBSyvPyWZazgQn0F,dance pop europop pop pop rap post-teen pop
0.353,0.105,138.059,0.0303,0.706,0.0,4,0.544,11,225039,-7.275,0.357,0,spotify:track:3ksNHUNCTP6Pan8rjFnmtw,dance pop pop post-teen pop
0.361,0.098,171.649,0.0738,0.8320000000000001,4.66e-06,4,0.483,0,193795,-7.888999999999999,0.307,1,spotify:track:2ZTYlnhhV1UAReg7wIGolx,pop post-teen pop uk pop
0.906,0.1689999999999999,81.994,0.228,0.0114,0.0,4,0.6509999999999999,0,229027,-5.29,0.579,1,spotify:track:7CJQUfl628ppAuH2MnTptQ,pop pop rap r&b rap urban contemporary
0.911,0.352,163.069,0.071,0.0792,0.0,4,0.6409999999999999,1,165851,-6.916,0.8109999999999999,0,spotify:track:2cAmsZQwOuWBFhdBr0Za9C,hip hop pittsburgh rap pop rap rap
0.4679999999999999,0.0935,129.961,0.0284,0.759,1.73e-05,4,0.56,9,194920,-6.792000000000001,0.124,1,spotify:track:2MYP4ooZ8XgGDEByjtCP9N,folk-pop indie anthem-folk modern rock
0.4479999999999999,0.102,84.17200000000001,0.0291,0.109,2.45e-05,4,0.504,7,189235,-6.581,0.357,0,spotify:track:7LiB4afKxBBHzr3jxR6U1H,indie anthem-folk indie cafe pop pop uk contemporary r&b uk pop
0.214,0.126,165.993,0.0516,0.887,0.621,4,0.524,1,307168,-19.911,0.208,0,spotify:track:3mlYx1bWcPjDtm69hIWGUX,pop post-teen pop uk pop
0.3829999999999999,0.111,100.012,0.0407,0.475,0.000528,4,0.742,6,188746,-17.783,0.299,1,spotify:track:7EesndxnjB8BgX5XvpqiQU,polish electronica
0.562,0.128,139.61700000000002,0.0315,0.6709999999999999,0.000607,4,0.382,2,226288,-5.744,0.1169999999999999,1,spotify:track:5l43igI28lTXnPK0KQsHQc,boston folk chamber pop folk-pop indie anthem-folk indie folk indiecoustica new americana stomp and holler
0.8079999999999999,0.0734,99.989,0.0433,0.44,0.000773,4,0.71,2,226003,-6.702999999999999,0.392,0,spotify:track:6XXYdF6pJR1K3wKvuxmu7n,dance pop pop post-teen pop
0.479,0.283,100.003,0.193,0.915,0.0619,4,0.705,7,214871,-9.302,0.322,0,spotify:track:1nUbphxI46m0KJDQnan2i1,
0.785,0.369,160.045,0.0378,0.0334,0.0,4,0.563,2,222187,-4.434,0.384,1,spotify:track:0J79k5KmsF1rM7a1Pc4fNe,post-teen pop uk pop
0.664,0.1159999999999999,128.945,0.0464,0.634,0.0,4,0.5660000000000001,4,241688,-5.303,0.437,0,spotify:track:3dYD57lRAUcMHufyqn9GcI,irish singer-songwriter pop
0.665,0.103,104.957,0.0758,0.0549,0.0,4,0.8170000000000001,9,215460,-6.224,0.662,0,spotify:track:2pWOMNQJW3g2zmGjP0Vkb0,latin latin hip hop reggaeton tropical
0.752,0.225,191.977,0.372,0.214,0.0,4,0.68,11,275400,-3.987,0.461,1,spotify:track:6fIVDVyzymH4OAlNhJ93k3,cubaton pop venezolano
0.688,0.105,103.982,0.0565,0.238,1.93e-05,4,0.851,11,259600,-4.038,0.732,1,spotify:track:5m3jpKkgkfoMcym1qjToFg,latin reggaeton reggaeton flow trap latino
0.8029999999999999,0.136,91.987,0.126,0.602,0.00853,4,0.807,11,258800,-4.156000000000001,0.706,1,spotify:track:5W83ErFkO3aKAIS1WMi6u0,latin reggaeton flow trap latino
0.715,0.0574,101.085,0.298,0.295,0.000134,4,0.8029999999999999,2,200960,-3.28,0.574,1,spotify:track:0MvxgmXHMXh70GpnR0mKkT,
0.473,0.109,133.44899999999998,0.0345,0.326,0.000124,4,0.396,10,219027,-7.67,0.385,0,spotify:track:5t9KYe0Fhd5cW6UYT4qP8f,baroque pop brill building pop classic rock folk rock psychedelic rock rock sunshine pop
0.769,0.0928,122.507,0.0422,0.0142,0.0,4,0.316,0,321147,-5.283,0.127,0,spotify:track:27IZXTdeGYjU6m5lTyDpmr,indie folk indie pop indie rock modern rock stomp and holler
0.406,0.108,119.993,0.0395,0.8590000000000001,0.0131,4,0.813,6,155973,-13.72,0.794,0,spotify:track:2TkyyKvoQbuTYcHMlJYsrP,alternative dance art pop chamber psych dance-punk indie rock indietronica leeds indie modern rock new rave
0.4529999999999999,0.0903,134.904,0.0467,0.5429999999999999,0.0158,4,0.55,5,224600,-13.359000000000002,0.152,0,spotify:track:2ciYXl6qAqMicL9eQGQNTx,alternative dance art pop chamber psych dance-punk indie rock indietronica leeds indie modern rock new rave
0.508,0.108,82.008,0.035,0.144,0.0,4,0.7020000000000001,8,252337,-7.105,0.143,1,spotify:track:4EjZUMyhC59LDHPILsra5u,pop
0.762,0.162,138.058,0.216,0.2189999999999999,0.0,4,0.885,8,189733,-5.513,0.605,0,spotify:track:1AI7UPw3fgwAFkvAlZWhE0,pop uk pop
0.302,0.268,92.8,0.0354,0.7240000000000001,0.0,4,0.583,3,177000,-8.097000000000001,0.496,0,spotify:track:2uKDcfavYygXfd8E15ec0d,indie cafe pop swedish pop
0.63,0.293,117.945,0.0348,0.00462,0.0,4,0.557,6,214000,-5.558,0.49,0,spotify:track:5H3oNfUXrqQuaFpIJN2q2C,indie cafe pop swedish pop
0.733,0.193,89.992,0.0693,0.0334,0.00193,4,0.5579999999999999,8,237140,-6.65,0.173,1,spotify:track:2WWfjbHALIb3e7FMcj9mr4,chillwave ninja
0.679,0.64,166.045,0.0761,0.00474,6.57e-06,4,0.573,0,233813,-6.191,0.747,1,spotify:track:7oZryU4VFbqOxT0bRceSjj,french indie pop french indietronica new french touch
0.855,0.335,120.045,0.0499,0.0124,0.0,4,0.669,0,227280,-3.035,0.648,0,spotify:track:62zFEHfAYl5kdHYOivj4BC,dance pop latin miami hip hop pop pop rap
0.723,0.14,113.778,0.0566,0.179,1.23e-05,4,0.6609999999999999,5,163805,-6.976,0.316,0,spotify:track:7Feaw9WAEREY0DUOSXJLOM,big room edm electro house pop progressive house tropical house
0.755,0.0795,97.063,0.05,0.0533,1.15e-05,4,0.667,11,180816,-5.893,0.472,0,spotify:track:6TNK1SFt77MvTFoiTloiFQ,german pop
0.475,0.122,143.175,0.0417,0.643,0.0,4,0.6629999999999999,1,191027,-8.834,0.644,1,spotify:track:4fXGWiVhlOLdhwRDP6pIFG,german pop rock
0.521,0.108,97.245,0.0273,0.276,0.0534,4,0.561,9,177227,-6.934,0.245,0,spotify:track:2Y4Wq7jGZXNblLdM1StZsd,alternative dance art pop electronica electropop
0.524,0.157,175.562,0.103,0.607,0.0,4,0.397,3,218854,-5.846,0.3429999999999999,1,spotify:track:3BeYDqr0sZU5883sl02De3,australian pop nz pop
0.484,0.193,124.014,0.0298,0.196,0.0179,4,0.616,2,238893,-9.318,0.306,0,spotify:track:2ZTvGAZD0DLePVY3e65lxW,indie anthem-folk indie cafe pop indiecoustica
0.508,0.139,99.063,0.0987,0.193,0.0,4,0.685,0,217287,-6.4,0.315,1,spotify:track:5sIx4BlfYGuZeSLF40N9GH,edm pop tropical house
0.708,0.1159999999999999,94.478,0.0483,0.0891,0.0471,4,0.7140000000000001,10,225600,-6.2860000000000005,0.601,0,spotify:track:6R1y3I91AIktu7qoKIugtH,english indie rock modern alternative rock modern rock north east england indie rock
0.69,0.143,106.034,0.1,0.282,0.001,4,0.799,7,352442,-7.252000000000001,0.682,1,spotify:track:0GmiGIxXDNrePrHBpijYDp,reggaeton flow
0.63,0.17,118.628,0.031,0.447,0.039,4,0.634,1,270773,-8.277000000000001,0.489,0,spotify:track:6H3kDe7CGoWYBabAeVWGiD,album rock british invasion classic rock rock
0.8759999999999999,0.0729,123.994,0.0987,0.0539,4.45e-06,4,0.653,8,217867,-4.501,0.706,1,spotify:track:7p9PpkZW3SQqUhR5VOhHOC,
0.321,0.114,145.045,0.0931,0.693,0.0307,4,0.64,0,210376,-14.604,0.177,1,spotify:track:7wC5eZcFS1Q1BsQ35DU6H4,electropop pop
0.318,0.0795,119.959,0.0478,0.8959999999999999,0.0023899999999999,4,0.614,7,180933,-12.695,0.1119999999999999,1,spotify:track:04sN26COy28wTXYj3dMoiZ,electropop pop
0.7190000000000001,0.106,82.914,0.0595,0.495,0.0,4,0.56,1,189187,-6.803,0.7120000000000001,0,spotify:track:0uQVkqWdjmjI2PyBeXHJDS,modern rock neo mellow piano rock pop rock rock
0.889,0.0789,115.036,0.0386,0.0209,0.0,4,0.516,0,312093,-4.237,0.4529999999999999,0,spotify:track:36DrLw8kpZY9QJIxutgfRy,modern rock neo mellow piano rock pop rock rock
0.7809999999999999,0.119,143.971,0.0544,0.0168,0.0,4,0.508,0,246160,-6.919,0.35,1,spotify:track:18mAggfWhdX9vcR4B5DwY3,modern rock neo mellow piano rock pop rock rock
0.483,0.115,120.19,0.0301,0.701,7.99e-06,4,0.675,0,197701,-8.095,0.358,0,spotify:track:0lUt61v9PK6Qrl0GjkTXAw,indie r&b uk contemporary r&b
0.8390000000000001,0.108,94.015,0.0287,0.0014,0.000365,4,0.517,0,215880,-3.5210000000000004,0.416,1,spotify:track:0yac0FPhLRH9i9lOng3f81,modern rock neo mellow piano rock pop rock rock
0.825,0.0618,121.949,0.111,0.0895,1.86e-05,4,0.6940000000000001,1,208067,-5.986000000000001,0.7879999999999999,1,spotify:track:1FKxKGONukVFXWVJxAKmlz,dance pop pop post-teen pop r&b
0.747,0.138,150.088,0.0736,0.0279999999999999,0.00615,4,0.662,11,234147,-6.926,0.487,0,spotify:track:214nt20w5wOxJnY462klLw,pop
0.858,0.364,95.049,0.0483,0.0826,0.0,4,0.742,10,194742,-4.946000000000001,0.64,1,spotify:track:0JcNysfWVWaMS7R6vzGB2k,champeta colombian pop latin latin pop tropical vallenato
0.6940000000000001,0.427,113.78,0.134,0.0153,0.0,4,0.4379999999999999,0,367947,-10.868,0.439,0,spotify:track:2Vhk4qfM3dB6utWxnatpFY,
0.534,0.1,145.816,0.0677,0.1639999999999999,0.0,4,0.6679999999999999,1,136248,-6.586,0.711,1,spotify:track:6hLkeOMrhZ2CMLBp2of576,dance pop piano rock pop pop rock
0.92,0.358,144.99,0.0574,0.0052899999999999,0.0,4,0.557,6,180133,-4.575,0.659,1,spotify:track:3Xbu82dGGxR6HUbQwINegC,dutch indie dutch pop dutch rock folk-pop
0.311,0.098,89.751,0.0301,0.61,0.0,4,0.5529999999999999,5,238260,-9.358,0.472,1,spotify:track:0TczqUZnms3hM62usj464t,dutch indie dutch pop dutch rock folk-pop
0.6609999999999999,0.0909,109.94,0.036,0.059,0.0,4,0.6890000000000001,11,214427,-6.468,0.3429999999999999,1,spotify:track:2DPI5lHpb0wmjaL222fPdF,indiecoustica neo mellow pop pop rock
0.894,0.179,104.993,0.0402,0.0309,2.15e-05,4,0.5870000000000001,0,189507,-4.184,0.81,0,spotify:track:3msS7xaelR4Oa0n7IwHkgF,indie pop indie rock modern alternative rock modern rock piano rock pop rock rock stomp and holler
0.7140000000000001,0.447,77.99600000000001,0.0303,0.0225,1.62e-06,4,0.4639999999999999,2,200947,-3.969,0.58,1,spotify:track:0kuSx4Cm1q6N6pOmCI9CRY,indie pop indie rock modern alternative rock modern rock piano rock pop rock rock stomp and holler
0.619,0.248,120.022,0.102,0.501,2.19e-05,4,0.762,2,219493,-5.227,0.596,0,spotify:track:2J4T0IOIZjQhLzosKPR2PN,alternative r&b art pop dance pop electropop indie pop indie poptimism indie r&b indietronica pop vapor soul
0.767,0.11,75.016,0.038,0.317,0.0107,4,0.546,6,227440,-6.5760000000000005,0.3879999999999999,0,spotify:track:4fD81QnkQYvhVw0a0ghN4x,acoustic pop chamber pop indie anthem-folk indie folk indie poptimism indiecoustica neo mellow pop rock
0.775,0.0883,119.964,0.0473,0.2689999999999999,0.0,4,0.601,0,190295,-4.612,0.483,1,spotify:track:6jreFSOTUAViWjKyzOC4Kg,big room dance pop edm electro house pop progressive electro house progressive house tropical house
0.7290000000000001,0.0928,110.055,0.0573,0.437,0.0036899999999999,4,0.688,4,251029,-6.56,0.469,0,spotify:track:7aQeWViSfRWSEwtJD86Eq0,dance pop pop
0.601,0.0821,117.018,0.0413,0.0355,0.0,4,0.596,11,196333,-4.876,0.613,0,spotify:track:3UmBgQiJhbNMmyPVceuH4d,electropop modern alternative rock modern rock pop
0.878,0.336,128.018,0.0485,0.00145,0.344,4,0.547,3,248280,-4.245,0.405,1,spotify:track:6fKEplI9iN0JMHsRGQESaT,big room dance pop edm electro house pop tropical house
0.3279999999999999,0.123,80.095,0.0353,0.4589999999999999,0.0,4,0.684,11,194880,-5.013,0.466,0,spotify:track:3k5PIl6A8QVFxvbFLdW3Wi,indie anthem-folk indie cafe pop indiecoustica
0.743,0.0966,113.967,0.114,0.0885,0.0,4,0.6940000000000001,9,194573,-5.787000000000001,0.55,0,spotify:track:5jpfTcpNgRmnMBOluuGNZB,indie anthem-folk indie cafe pop indiecoustica
0.465,0.166,87.98,0.0615,0.618,1.04e-06,4,0.617,10,221467,-7.361000000000001,0.4039999999999999,1,spotify:track:6sUBGw9fl8uljM5z6Hqip7,indie anthem-folk indie cafe pop indiecoustica
0.455,0.107,99.942,0.12,0.508,0.000213,4,0.457,7,208827,-9.116,0.284,1,spotify:track:5j5bQ1TrOO3U6mfysOQAtB,indie anthem-folk indie cafe pop indiecoustica
0.225,0.106,120.006,0.0994,0.902,0.657,4,0.7040000000000001,6,245426,-14.454,0.243,0,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,electropop pop
0.899,0.1369999999999999,125.85,0.0458,0.0113,9.65e-05,4,0.55,5,170079,-3.284,0.408,0,spotify:track:1nufXiTCTTAeJfO9hLHvO8,big room edm electro house pop edm progressive electro house progressive house progressive trance trance tropical house uplifting trance
0.601,0.0998,132.06,0.0321,0.175,0.0,4,0.585,8,229413,-5.749,0.372,0,spotify:track:45mnAtRP2f85mEjmRFv6ek,pop
0.741,0.133,105.997,0.053,0.155,0.0,4,0.7170000000000001,10,186062,-6.645,0.188,0,spotify:track:510UgVCpnUaQ5ACHW2J8gu,belgian edm edm pop tropical house
0.467,0.0828,84.846,0.0287,0.48,0.0,4,0.609,0,206928,-6.414,0.249,0,spotify:track:51vvmL3kyLhCr5hqy4MbFC,indie anthem-folk
0.619,0.14,137.043,0.0663,0.596,0.0,4,0.665,10,138115,-8.327,0.541,0,spotify:track:1TkXApzsz0a6YRArjbqprt,metropopolis modern rock pop pop rock
0.545,0.121,77.39399999999999,0.0374,0.196,9.18e-06,3,0.331,10,210667,-7.962999999999999,0.586,1,spotify:track:4O0UPAGXfeAK8vM4OUEBFD,dance pop piano rock pop pop rock
0.713,0.303,61.519,0.0366,0.33,0.0,4,0.359,5,194387,-4.526,0.272,1,spotify:track:2iZXMKa6Q4GBngBuRWtUtm,dance pop piano rock pop pop rock
0.664,0.0759,140.059,0.0302,0.452,0.00552,4,0.705,10,231760,-6.093,0.588,1,spotify:track:2UyZTPrWFSMysY9cVVjmaB,dance pop piano rock pop pop rock
0.449,0.045,135.893,0.0611,0.0205,0.0,4,0.597,6,215294,-8.36,0.539,1,spotify:track:4JSQYAKvuhgGjzpqoMdoCi,la pop
0.863,0.207,106.03,0.037,0.00462,4.77e-05,4,0.5670000000000001,7,214360,-5.158,0.722,0,spotify:track:12pdXFcruNcPUbZypKUDgz,indie pop indie rock modern alternative rock modern rock piano rock pop rock rock stomp and holler
0.395,0.263,132.975,0.0264,0.792,2e-06,4,0.5920000000000001,0,262853,-6.643,0.384,1,spotify:track:1qRjGm49sjk0NntgZMdDzn,
0.726,0.0844,114.996,0.0552,0.157,0.0,4,0.647,3,198996,-4.388999999999999,0.767,0,spotify:track:3M9Apu4OZfylLTFKvgEtKa,big room brostep dance pop dutch edm edm electro house house pop trance tropical house
0.83,0.146,124.953,0.0521,0.0074,0.0,4,0.588,5,192000,-6.188,0.585,0,spotify:track:08rjzQsf8beRbqIZyX3Snw,dance pop edm pop tropical house
0.595,0.0859,74.986,0.0288,0.285,0.0,4,0.626,0,212107,-4.975,0.65,0,spotify:track:3mbL70beTjRVn8JSiU6LiW,
0.511,0.206,135.009,0.0375,0.0323,0.000244,4,0.562,5,217933,-7.96,0.134,1,spotify:track:57cAALfX35bWaURrtJnumR,soundtrack
0.857,0.302,165.165,0.412,0.0153,0.0001159999999999,4,0.381,9,232267,-5.127999999999999,0.297,0,spotify:track:5uzb9K0tH87od3yjFBENFq,electronic rock
0.513,0.069,142.067,0.0492,0.643,3.24e-05,4,0.379,1,258000,-7.724,0.108,0,spotify:track:6S91KdGvAQdUU8vNpqIte7,modern rock rock
0.0739,0.0827,121.948,0.0544,0.934,0.7809999999999999,3,0.475,0,245307,-22.641,0.102,1,spotify:track:1cO0leXSGQuzc7W3QMFkDS,ecm-style jazz german jazz jazz trio modern jazz trio
0.622,0.498,96.964,0.0337,0.344,0.0699,4,0.517,6,244960,-9.135,0.51,0,spotify:track:0szmjOw9XbtbQYWz0GvXSp,boston folk chamber pop folk-pop indie anthem-folk indie folk indiecoustica new americana stomp and holler
0.797,0.38,178.021,0.0386,0.0175,0.0,4,0.564,10,176747,-4.534,0.5589999999999999,0,spotify:track:4yYyidLY7wb22VEIL6Hzcj,dance pop europop pop pop rock post-teen pop talent show uk pop
0.747,0.151,97.878,0.0584,0.0728,0.0,4,0.564,5,165767,-3.374,0.7170000000000001,1,spotify:track:6GIRtKNXokeu25nn7U6Hu8,boy band dance pop pop post-teen pop
0.499,0.0761,88.825,0.0421,0.0406,9.44e-05,4,0.723,11,273173,-13.082,0.828,0,spotify:track:7j74lucZ59vqN67Ipe2ZcY,album rock classic rock folk rock mellow gold rock soft rock yacht rock
0.588,0.1369999999999999,104.954,0.059,0.209,0.000135,4,0.627,4,294857,-4.861000000000001,0.0505,0,spotify:track:5eB7FCmbmOckoh5CE1Y2q3,swiss indie swiss pop
0.483,0.184,131.07,0.0799,0.625,0.0333,4,0.432,1,200267,-10.613,0.108,0,spotify:track:5fqMnSFo83YEsOBALMAYau,french indie pop french indietronica
0.4629999999999999,0.14,80.922,0.0391,0.679,1.3e-06,4,0.551,11,221707,-9.683,0.186,1,spotify:track:35AG36QH9ytiNtPyx9xwr8,australian pop pop
0.8590000000000001,0.151,77.92,0.0805,0.541,3.01e-06,4,0.421,11,196907,-5.306,0.4679999999999999,0,spotify:track:1OfA2pIJafysuWz5WlBEZQ,indie anthem-folk indie cafe pop indiecoustica
0.6709999999999999,0.0751,87.84100000000001,0.037,0.00737,0.113,4,0.413,4,232280,-6.935,0.196,0,spotify:track:5ky71GXSi2Rt2sgmbVGuqK,bow pop pop violin
