,job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,age_bin
52,0,1,3,0,0,0,1,6,1,1,4
53,0,2,5,0,0,0,1,6,1,1,4
54,1,1,0,1,0,0,1,6,1,1,4
55,9,1,5,1,2,0,1,6,1,1,4
56,4,1,6,1,0,2,1,6,1,1,3
57,7,1,3,1,2,0,1,6,1,1,3
58,10,1,5,1,2,2,1,6,1,1,4
59,9,2,6,0,2,0,1,6,1,1,1
60,2,1,6,1,0,0,1,6,1,1,3
61,1,1,2,0,2,0,1,6,1,1,4
62,1,1,1,1,2,0,1,6,1,1,3
63,1,1,1,1,0,0,1,6,1,1,3
64,0,1,3,0,0,0,1,6,1,1,3
65,0,1,6,0,0,0,1,6,1,1,2
66,1,2,2,0,2,0,1,6,1,1,3
67,0,1,7,0,2,0,1,6,1,1,2
68,0,1,2,0,2,0,1,6,1,1,4
69,1,2,0,1,2,2,1,6,1,1,3
70,4,1,1,0,0,0,1,6,1,1,3
71,4,0,6,0,2,0,1,6,1,1,3
72,0,1,6,1,2,0,1,6,1,1,3
73,11,1,7,1,0,0,1,6,1,1,4
74,0,1,6,1,2,0,1,6,1,1,2
75,1,0,0,1,2,0,1,6,1,1,3
76,9,1,6,0,0,0,1,6,1,1,4
77,7,1,3,1,2,0,1,6,1,1,2
78,4,1,7,1,2,0,1,6,1,1,4
79,1,1,2,1,0,0,1,6,1,1,3
80,1,1,0,1,2,0,1,6,1,1,3
81,1,1,0,1,1,1,1,6,1,1,4
82,0,1,3,1,0,0,1,6,1,1,2
83,2,1,6,1,2,0,1,6,1,1,3
84,9,2,6,0,0,2,1,6,1,1,2
85,0,0,3,0,0,0,1,6,1,1,2
86,4,1,1,0,0,0,1,6,1,1,3
87,0,1,6,0,2,2,1,6,1,1,2
88,9,1,2,0,0,0,1,6,1,1,3
89,0,1,3,0,2,0,1,6,1,1,2
90,0,1,6,0,2,0,1,6,1,1,2
91,11,1,7,1,2,0,1,6,1,1,4
92,0,1,7,1,0,2,1,6,1,1,4
93,10,1,2,0,0,0,1,6,1,1,2
94,1,1,1,0,0,2,1,6,1,1,3
95,7,1,5,0,2,0,1,6,1,1,3
96,4,1,6,0,0,0,1,6,1,1,3
97,0,0,6,1,0,0,1,6,1,1,4
98,9,2,5,0,0,0,1,6,1,1,2
99,1,1,1,0,0,0,1,6,1,1,3
100,7,1,7,0,2,0,1,6,1,1,4
101,1,1,0,0,0,0,1,6,1,1,3
102,7,1,7,0,0,0,1,6,1,1,4
103,0,0,6,0,0,0,1,6,1,1,4
104,0,0,6,0,0,0,1,6,1,1,4
105,7,2,3,1,0,0,1,6,1,1,3
106,3,1,1,0,2,0,1,6,1,1,2
107,0,1,3,0,2,0,1,6,1,1,2
108,2,1,7,1,2,0,1,6,1,1,3
109,9,1,7,1,2,2,1,6,1,1,3
110,5,0,6,1,0,0,1,6,1,1,4
111,10,1,0,1,0,0,1,6,1,1,4
112,7,0,3,0,2,0,1,6,1,1,2
113,1,1,2,1,2,0,1,6,1,1,4
114,4,1,6,0,0,0,1,6,1,1,2
115,1,1,3,0,0,0,1,6,1,1,2
116,0,0,6,0,0,0,1,6,1,1,4
117,1,0,7,1,2,0,1,6,1,1,4
118,0,1,7,0,2,0,1,6,1,1,4
119,1,0,0,1,2,0,1,6,1,1,3
120,1,1,3,1,2,0,1,6,1,1,2
121,1,0,3,0,0,0,1,6,1,1,3
122,7,1,3,0,0,0,1,6,1,1,3
123,9,1,3,0,2,0,1,6,1,1,3
124,0,1,6,0,2,2,1,6,1,1,2
125,0,1,6,0,0,2,1,6,1,1,3
126,0,1,1,0,0,0,1,6,1,1,3
127,9,0,5,0,2,2,1,6,1,1,2
128,5,1,0,0,2,0,1,6,1,1,4
129,9,1,5,1,2,0,1,6,1,1,3
130,1,1,1,0,2,2,1,6,1,1,2
131,9,1,5,1,0,0,1,6,1,1,3
132,1,1,7,0,2,0,1,6,1,1,2
133,1,1,1,0,2,0,1,6,1,1,2
134,4,1,6,0,0,0,1,6,1,1,4
135,4,0,6,0,0,0,1,6,1,1,2
136,3,1,0,1,0,0,1,6,1,1,2
137,1,1,0,1,0,0,1,6,1,1,4
138,7,1,3,0,2,0,1,6,1,1,2
139,1,1,2,1,2,0,1,6,1,1,3
140,10,2,6,0,2,0,1,6,1,1,3
141,4,1,7,0,2,0,1,6,1,1,4
142,4,1,6,0,2,0,1,6,1,1,2
143,1,1,0,0,2,0,1,6,1,1,4
144,11,0,3,1,2,0,1,6,1,1,2
145,1,1,0,1,2,0,1,6,1,1,3
146,1,1,0,1,0,0,1,6,1,1,3
147,0,2,3,0,2,0,1,6,1,1,2
148,0,1,6,1,2,0,1,6,1,1,2
149,1,1,0,0,2,0,1,6,1,1,4
150,1,1,2,1,0,0,1,6,1,1,4
151,2,1,7,1,2,0,1,6,1,1,4
152,7,0,3,1,2,0,1,6,1,1,2
153,2,1,7,1,0,0,1,6,1,1,4
154,1,1,7,0,2,2,1,6,1,1,2
155,1,1,2,0,2,2,1,6,1,1,2
156,1,1,7,1,2,0,1,6,1,1,4
157,1,1,7,1,0,0,1,6,1,1,4
158,9,2,5,0,2,0,1,6,1,1,3
159,7,1,3,0,0,0,1,6,1,1,4
160,4,2,6,0,2,0,1,6,1,1,1
161,1,2,2,1,2,2,1,6,1,1,2
162,1,1,2,1,0,0,1,6,1,1,2
163,1,1,2,1,0,0,1,6,1,1,3
164,7,0,3,1,0,0,1,6,1,1,2
165,2,1,1,0,0,0,1,6,1,1,2
166,7,1,3,0,2,2,1,6,1,1,2
167,0,0,7,1,0,0,1,6,1,1,4
168,1,1,7,0,0,0,1,6,1,1,2
169,4,0,6,0,2,0,1,6,1,1,4
170,1,1,3,1,0,2,1,6,1,1,3
171,7,1,3,1,0,0,1,6,1,1,2
172,9,1,6,0,2,2,1,6,1,1,3
173,0,2,6,1,0,0,1,6,1,1,3
174,7,1,3,0,0,0,1,6,1,1,3
175,4,1,2,0,0,0,1,6,1,1,3
176,7,1,3,0,2,2,1,6,1,1,3
177,0,2,1,0,0,0,1,6,1,1,4
178,7,1,3,0,2,0,1,6,1,1,1
179,1,1,2,0,0,0,1,6,1,1,2
180,9,1,3,0,0,0,1,6,1,1,2
181,1,1,1,1,2,0,1,6,1,1,3
182,1,1,2,0,2,2,1,6,1,1,3
183,0,1,6,0,2,0,1,6,1,1,2
184,1,1,0,1,0,0,1,6,1,1,4
185,4,1,6,0,0,0,1,6,1,1,4
186,9,1,1,1,0,0,1,6,1,1,4
187,5,1,3,1,0,0,1,6,1,1,4
188,1,1,0,1,0,0,1,6,1,1,3
189,0,1,6,0,2,0,1,6,1,1,2
190,9,1,5,0,0,0,1,6,1,1,3
191,1,2,2,0,2,0,1,6,1,1,2
192,4,0,6,0,0,0,1,6,1,1,3
193,9,1,6,0,0,0,1,6,1,1,3
194,1,2,2,1,2,0,1,6,1,1,2
195,1,1,0,0,2,0,1,6,1,1,3
196,0,1,3,1,2,0,1,6,1,1,2
197,1,2,2,1,0,0,1,6,1,1,2
198,0,1,2,1,2,0,1,6,1,1,2
199,1,1,1,0,2,0,1,6,1,1,3
200,7,1,3,0,0,0,1,6,1,1,2
201,7,2,1,0,0,0,1,6,1,1,2
202,1,1,3,0,2,0,1,6,1,1,2
203,0,1,7,0,0,0,1,6,1,1,3
204,1,1,2,0,2,0,1,6,1,1,3
205,8,2,6,1,0,0,1,6,1,1,2
206,8,2,6,1,2,2,1,6,1,1,2
207,10,1,5,0,0,0,1,6,1,1,2
208,7,2,0,0,0,0,1,6,1,1,2
209,8,2,6,1,2,0,1,6,1,1,2
210,8,2,2,0,2,0,1,6,1,1,2
211,3,0,6,0,0,0,1,6,1,1,4
212,0,1,6,0,0,0,1,6,1,1,4
213,5,1,7,1,0,0,1,6,1,1,4
214,1,1,5,1,2,0,1,6,1,1,2
215,3,1,0,1,2,0,1,6,1,1,2
216,1,2,7,0,2,0,1,6,1,1,1
217,1,2,7,0,2,2,1,6,1,1,1
218,3,1,0,1,0,0,1,6,1,1,3
219,7,1,3,0,0,0,1,6,1,1,2
220,0,1,3,0,2,0,1,6,1,1,2
221,9,1,7,1,0,0,1,6,1,1,3
222,7,2,1,1,2,0,1,6,1,1,2
223,9,1,0,1,2,0,1,6,1,1,3
224,9,1,2,0,0,0,1,6,1,1,2
225,5,1,6,0,0,0,1,6,1,1,4
226,9,1,6,0,0,0,1,6,1,1,3
227,0,2,6,0,0,0,1,6,1,1,2
228,5,1,0,1,0,0,1,6,1,1,3
229,1,1,0,0,2,2,1,6,1,1,3
230,0,1,5,0,2,0,1,6,1,1,2
231,7,0,5,0,2,0,1,6,1,1,3
232,4,0,0,1,2,0,1,6,1,1,2
233,0,1,3,1,0,0,1,6,1,1,2
234,6,1,6,1,0,0,1,6,1,1,4
235,0,1,5,0,2,0,1,6,1,1,3
236,1,1,0,0,0,0,1,6,1,1,4
237,0,1,3,0,0,0,1,6,1,1,3
238,7,1,3,1,0,2,1,6,1,1,2
239,4,1,6,1,0,2,1,6,1,1,3
240,5,1,3,0,0,0,1,6,1,1,4
241,9,2,5,0,0,0,1,6,1,1,2
242,4,1,6,0,2,0,1,6,1,1,2
243,7,2,2,0,0,0,1,6,1,1,2
244,9,1,6,1,0,0,1,6,1,1,1
245,7,0,7,0,0,0,1,6,1,1,2
246,9,2,5,0,0,0,1,6,1,1,2
247,9,2,3,0,2,0,1,6,1,1,2
248,1,2,3,0,0,2,1,6,1,1,2
249,7,2,3,0,0,0,1,6,1,1,2
250,9,0,5,0,0,0,1,6,1,1,2
251,1,1,0,0,2,0,1,6,1,1,3
252,7,1,1,0,2,0,1,6,1,1,4
253,9,1,5,0,2,0,1,6,1,1,2
254,7,1,7,0,0,0,1,6,1,1,1
255,7,1,3,0,2,2,1,6,1,1,4
256,1,1,2,1,2,0,1,6,1,1,4
257,4,1,2,0,0,2,1,6,1,1,3
258,9,1,7,0,2,0,1,6,1,1,3
259,0,1,3,0,0,2,1,6,1,1,2
260,0,1,3,0,0,2,1,6,1,1,2
261,1,2,1,0,1,1,1,6,1,1,1
262,9,1,3,0,0,0,1,6,1,1,3
263,0,0,2,0,0,0,1,6,1,1,3
264,0,1,6,0,0,0,1,6,1,1,3
265,1,2,1,0,0,0,1,6,1,1,1
266,6,2,6,0,2,0,1,6,1,1,2
267,8,2,6,1,0,0,1,6,1,1,2
268,4,0,6,0,0,0,1,6,1,1,4
269,6,1,0,1,0,0,1,6,1,1,2
270,10,1,3,1,2,0,1,6,1,1,4
271,4,0,6,0,0,0,1,6,1,1,3
272,3,1,2,1,0,0,1,6,1,1,3
273,0,2,3,0,0,0,1,6,1,1,2
274,3,2,3,1,2,2,1,6,1,1,3
275,1,1,2,1,0,0,1,6,1,1,3
276,7,1,3,0,0,0,1,6,1,1,2
277,1,1,0,1,0,0,1,6,1,1,4
278,9,2,2,0,0,0,1,6,1,1,3
279,5,1,5,0,0,0,1,6,1,1,4
280,1,1,1,0,0,0,1,6,1,1,3
281,9,1,0,0,2,0,1,6,1,1,4
282,0,1,2,0,0,0,1,6,1,1,4
283,1,1,2,0,2,0,1,6,1,1,2
284,1,0,2,0,2,0,1,6,1,1,3
285,1,0,1,0,0,0,1,6,1,1,3
286,3,1,2,0,2,0,1,6,1,1,2
287,0,2,3,0,2,2,1,6,1,1,2
288,1,1,7,1,2,0,1,6,1,1,4
289,7,1,3,0,0,0,1,6,1,1,2
290,4,0,6,0,2,0,1,6,1,1,3
291,0,1,3,0,2,2,1,6,1,1,2
292,9,0,5,1,0,2,1,6,1,1,4
293,1,1,0,0,2,0,1,6,1,1,3
294,9,2,5,0,2,0,1,6,1,1,2
295,6,1,5,0,0,0,1,6,1,1,3
296,1,0,3,0,0,2,1,6,1,1,3
297,0,1,6,0,2,0,1,6,1,1,2
298,7,0,3,0,0,0,1,6,1,1,2
299,11,1,7,1,0,0,1,6,1,1,2
300,7,2,3,1,0,0,1,6,1,1,2
301,1,0,3,1,0,2,1,6,1,1,3
302,5,1,5,1,0,0,1,6,1,1,4
303,11,1,7,0,2,0,1,6,1,1,3
304,0,1,3,0,2,0,1,6,1,1,3
305,0,1,1,1,2,0,1,6,1,1,2
306,1,1,7,1,0,0,1,6,1,1,3
307,3,0,0,0,2,2,1,6,1,1,4
308,0,1,6,0,2,0,1,6,1,1,3
309,1,1,0,0,2,0,1,6,1,1,3
310,4,0,6,0,2,0,1,6,1,1,4
311,0,2,6,0,0,0,1,6,1,1,1
312,0,1,3,0,0,0,1,6,1,1,2
313,1,1,5,1,2,0,1,6,1,1,4
314,4,1,6,1,2,0,1,6,1,1,2
315,0,2,2,1,0,0,1,6,1,1,2
316,0,0,3,0,0,0,1,6,1,1,2
317,5,1,1,0,0,0,1,6,1,1,4
318,1,1,2,0,0,0,1,6,1,1,3
319,7,1,3,0,2,0,1,6,1,1,3
320,4,2,2,0,2,0,1,6,1,1,4
321,0,2,1,0,2,2,1,6,1,1,4
322,9,2,7,0,0,0,1,6,1,1,3
323,7,1,1,1,0,0,1,6,1,1,2
324,9,1,5,0,2,2,1,6,1,1,4
325,3,2,5,0,0,0,1,6,1,1,2
326,0,2,6,0,2,0,1,6,1,1,1
327,0,1,3,0,0,0,1,6,1,1,2
328,1,1,2,1,0,0,1,6,1,1,2
329,0,1,3,0,0,0,1,6,1,1,2
330,7,2,3,0,2,0,1,6,1,1,1
331,1,1,2,0,2,0,1,6,1,1,2
332,4,1,3,0,2,0,1,6,1,1,2
333,6,2,6,0,0,2,1,6,1,1,3
334,7,1,3,1,2,0,1,6,1,1,3
335,2,1,3,0,2,0,1,6,1,1,3
336,9,2,5,1,2,0,1,6,1,1,3
337,1,2,3,0,2,2,1,6,1,1,2
338,1,1,2,1,2,0,1,6,1,1,4
339,4,1,6,1,0,0,1,6,1,1,3
340,4,1,5,1,2,0,1,6,1,1,4
341,7,2,3,0,2,0,1,6,1,1,2
342,0,1,2,0,0,0,1,6,1,1,3
343,11,1,7,1,2,0,1,6,1,1,4
344,1,0,0,0,2,0,1,6,1,1,4
345,9,1,3,0,2,0,1,6,1,1,4
346,7,0,5,0,0,0,1,6,1,1,3
347,1,2,2,1,2,0,1,6,1,1,3
348,2,1,6,0,2,0,1,6,1,1,2
349,1,1,0,0,0,0,1,6,1,1,4
350,1,1,1,1,0,0,1,6,1,1,3
351,9,1,5,0,0,0,1,6,1,1,4
352,4,1,6,0,0,0,1,6,1,1,2
353,7,1,3,0,2,0,1,6,1,1,2
354,0,1,6,0,2,0,1,6,1,1,4
355,10,2,6,0,0,0,1,6,1,1,3
356,1,2,3,0,0,0,1,6,1,1,2
357,1,1,2,0,0,0,1,6,1,1,2
358,7,1,0,0,0,0,1,6,1,1,2
359,2,1,0,0,2,0,1,6,1,1,4
360,10,0,3,1,0,0,1,6,3,1,2
361,4,1,6,0,2,0,1,6,3,1,4
362,9,1,3,0,2,0,1,6,3,1,3
363,1,1,0,1,2,0,1,6,3,1,3
364,0,1,6,0,2,0,1,6,3,1,3
365,9,1,6,0,0,0,1,6,3,1,2
366,6,1,3,0,2,0,1,6,3,1,3
367,0,0,2,0,0,0,1,6,3,1,4
368,1,1,2,1,2,0,1,6,3,1,3
369,4,0,3,0,0,0,1,6,3,1,4
370,1,1,2,0,0,0,1,6,3,1,2
371,1,1,2,0,0,2,1,6,3,1,2
372,0,2,3,0,2,0,1,6,3,1,3
373,1,2,2,0,2,0,1,6,3,1,1
374,7,1,3,0,0,0,1,6,3,1,3
375,1,1,7,0,0,0,1,6,3,1,3
376,9,1,1,0,2,0,1,6,3,1,3
377,0,2,6,0,0,0,1,6,3,1,2
378,0,1,2,0,0,0,1,6,3,1,2
379,0,1,6,0,2,2,1,6,3,1,3
380,1,2,7,0,0,0,1,6,3,1,1
381,0,1,2,0,2,0,1,6,3,1,2
382,4,2,6,0,0,0,1,6,3,1,2
383,8,2,7,1,0,0,1,6,3,1,1
384,4,1,0,1,2,2,1,6,3,1,4
385,4,1,0,1,1,1,1,6,3,1,4
386,6,1,6,0,0,0,1,6,3,1,3
387,3,1,1,1,2,2,1,6,3,1,3
388,11,2,7,1,2,2,1,6,3,1,1
389,7,1,3,0,2,0,1,6,3,1,3
390,5,3,6,1,0,0,1,6,3,1,4
391,4,1,3,1,0,0,1,6,3,1,3
392,0,1,6,0,0,0,1,6,3,1,2
393,0,1,3,0,0,0,1,6,3,1,3
394,0,1,2,0,0,0,1,6,3,1,3
395,9,1,5,0,0,0,1,6,3,1,2
396,7,1,3,1,0,0,1,6,3,1,4
397,1,0,0,0,0,0,1,6,3,1,1
398,6,1,6,0,2,2,1,6,3,1,3
399,1,1,2,1,0,0,1,6,3,1,3
400,7,2,3,0,0,0,1,6,3,1,4
401,7,1,3,1,1,1,1,6,3,1,3
402,1,1,3,1,2,0,1,6,3,1,2
403,10,1,6,1,2,0,1,6,3,1,3
404,1,1,0,1,0,0,1,6,3,1,2
405,2,1,6,0,2,0,1,6,3,1,3
406,7,0,1,0,0,0,1,6,3,1,4
407,0,1,3,0,2,0,1,6,3,1,2
408,7,1,3,0,0,2,1,6,3,1,2
409,1,1,2,1,2,0,1,6,3,1,3
410,0,1,3,0,0,0,1,6,3,1,3
411,9,1,0,0,0,2,1,6,3,1,4
412,1,1,2,0,0,0,1,6,3,1,1
413,5,3,0,0,0,0,1,6,3,1,4
414,2,1,0,1,2,0,1,6,3,1,3
415,1,1,0,1,2,2,1,6,3,1,4
416,6,2,2,1,2,2,1,6,3,1,2
417,0,1,3,1,0,0,1,6,3,1,3
418,7,1,3,0,2,0,1,6,3,1,1
419,9,2,6,0,2,0,1,6,3,1,2
420,1,1,0,1,2,0,1,6,3,1,4
421,2,1,0,0,0,0,1,6,3,1,3
422,1,1,0,1,0,0,1,6,3,1,3
423,4,1,6,1,0,0,1,6,3,1,2
424,1,1,0,1,2,0,1,6,3,1,2
425,1,1,2,0,0,0,1,6,3,1,3
426,4,1,1,0,0,0,1,6,3,1,4
427,9,1,5,0,2,0,1,6,3,1,3
428,11,1,7,1,2,0,1,6,3,1,3
429,7,1,3,1,0,0,1,6,3,1,2
430,6,0,6,0,0,0,1,6,3,1,3
431,6,1,2,1,0,0,1,6,3,1,3
432,6,2,6,0,2,0,1,6,3,1,1
433,7,2,5,0,2,2,1,6,3,1,1
434,7,1,7,1,0,0,1,6,3,1,4
435,9,1,5,0,2,0,1,6,3,1,2
436,3,1,2,0,2,0,1,6,3,1,3
437,1,1,5,0,0,0,1,6,3,1,2
438,0,0,6,0,0,0,1,6,3,1,3
439,4,1,7,0,2,0,1,6,3,1,3
440,9,1,5,1,0,2,1,6,3,1,2
441,3,1,6,0,0,0,1,6,3,1,1
442,1,0,2,1,0,0,1,6,3,1,2
443,4,1,6,0,2,0,1,6,3,1,3
444,0,1,2,0,0,0,1,6,3,1,2
445,1,1,7,1,0,0,1,6,3,1,3
446,9,1,5,0,0,0,1,6,3,1,3
447,9,1,0,1,0,2,1,6,3,1,4
448,9,1,0,1,0,0,1,6,3,1,4
449,1,1,0,0,0,2,1,6,3,1,2
450,9,1,0,1,0,0,1,6,3,1,4
451,8,2,2,1,2,0,1,6,3,1,1
452,4,1,6,0,0,0,1,6,3,1,4
453,0,1,6,0,2,0,1,6,3,1,3
454,9,1,5,0,2,0,1,6,3,1,3
455,0,1,3,0,0,0,1,6,3,1,2
456,4,1,5,1,2,0,1,6,3,1,4
457,10,2,0,0,2,0,1,6,3,1,3
458,3,1,0,0,0,0,1,6,3,1,4
459,1,1,1,0,0,2,1,6,3,1,2
460,0,2,2,1,0,0,1,6,3,1,3
461,9,0,3,0,0,0,1,6,3,1,3
462,6,1,6,0,2,0,1,6,3,1,4
463,1,2,2,0,2,0,1,6,3,1,2
464,7,1,3,0,0,0,1,6,3,1,2
465,0,1,3,0,2,2,1,6,3,1,3
466,4,1,1,1,0,0,1,6,3,1,2
467,4,1,5,1,2,0,1,6,3,1,4
468,0,1,0,0,2,0,1,6,3,1,4
469,4,1,6,0,0,0,1,6,3,1,3
470,9,2,5,1,1,1,1,6,3,1,3
471,4,1,5,0,2,0,1,6,3,1,3
472,0,0,3,0,0,0,1,6,3,1,2
473,0,1,6,1,2,0,1,6,3,1,1
474,1,0,0,0,0,0,1,6,3,1,4
475,1,1,2,1,0,0,1,6,3,1,3
476,11,1,7,1,0,0,1,6,3,1,4
477,1,1,0,1,0,0,1,6,3,1,2
478,5,1,6,0,0,0,1,6,3,1,4
479,4,1,7,1,0,0,1,6,3,1,3
480,9,2,3,1,0,2,1,6,3,1,2
481,7,1,3,0,2,0,1,6,3,1,2
482,5,1,0,0,0,0,1,6,3,1,3
483,11,1,7,1,2,0,1,6,3,1,3
484,4,1,1,1,2,2,1,6,3,1,4
485,0,1,6,0,1,1,1,6,3,1,2
486,0,2,6,1,0,0,1,6,3,1,2
487,9,1,5,0,2,0,1,6,3,1,2
488,3,1,5,1,0,0,1,6,3,1,3
489,9,1,7,0,2,0,1,6,3,1,4
490,9,1,6,0,2,0,1,6,3,1,2
491,10,1,2,1,0,0,1,6,3,1,3
492,7,1,2,0,0,0,1,6,3,1,3
493,1,1,2,1,0,0,1,6,3,1,2
494,0,2,6,1,1,1,1,6,3,1,2
495,7,1,3,1,1,1,1,6,3,1,2
496,9,1,5,0,2,0,1,6,3,1,2
497,0,0,6,1,2,0,1,6,3,1,2
498,0,1,5,0,2,0,1,6,3,1,4
499,0,1,1,1,2,0,1,6,3,1,4
500,2,1,6,1,0,0,1,6,3,1,4
501,0,1,2,0,1,1,1,6,3,1,2
502,0,1,2,0,0,0,1,6,3,1,2
503,7,0,3,1,2,0,1,6,3,1,4
504,7,1,3,1,2,0,1,6,3,1,2
505,2,1,6,0,0,0,1,6,3,1,3
506,9,2,6,0,0,0,1,6,3,1,2
507,11,2,7,1,2,0,1,6,3,1,4
508,9,1,6,0,2,0,1,6,3,1,2
509,1,1,3,1,2,0,1,6,3,1,3
510,1,1,0,0,0,0,1,6,3,1,3
511,2,1,3,0,0,0,1,6,3,1,3
512,4,1,6,0,2,0,1,6,3,1,2
513,7,1,2,0,2,2,1,6,3,1,3
514,2,1,3,0,2,0,1,6,3,1,4
515,9,1,7,1,2,0,1,6,3,1,2
516,3,2,0,1,2,0,1,6,3,1,3
517,1,1,0,0,0,0,1,6,3,1,4
518,1,1,7,1,0,0,1,6,3,1,3
519,0,1,7,0,0,0,1,6,3,1,3
520,4,1,2,1,1,1,1,6,3,1,2
521,1,1,2,0,0,0,1,6,3,1,2
522,1,1,1,0,2,0,1,6,3,1,2
523,1,1,1,0,0,0,1,6,3,1,2
524,0,1,3,0,0,0,1,6,3,1,2
525,0,2,7,1,2,0,1,6,3,1,3
526,7,2,3,0,0,0,1,6,3,1,1
527,0,0,3,0,2,2,1,6,3,1,2
528,9,0,6,0,0,0,1,6,3,1,2
529,0,1,3,0,0,0,1,6,3,1,3
530,0,1,3,0,0,0,1,6,3,1,2
531,7,1,3,1,2,2,1,6,3,1,3
532,1,1,1,0,0,0,1,6,3,1,3
533,1,1,2,0,0,0,1,6,3,1,2
534,9,1,3,0,0,0,1,6,3,1,3
535,7,1,3,1,0,0,1,6,3,1,2
536,0,2,3,0,2,2,1,6,3,1,2
537,1,2,0,1,0,0,1,6,3,1,2
538,0,2,1,1,0,0,1,6,3,1,2
539,6,1,6,0,0,0,1,6,3,1,2
540,6,1,7,1,0,0,1,6,3,1,4
541,1,2,2,1,0,0,1,6,3,1,2
542,9,1,5,1,0,2,1,6,3,1,4
543,2,2,6,0,2,0,1,6,3,1,2
544,6,2,3,0,2,0,1,6,3,1,1
545,0,1,5,0,2,2,1,6,3,1,3
546,0,1,6,0,0,0,1,6,3,1,3
547,0,0,3,0,0,2,1,6,3,1,2
548,0,2,6,0,2,2,1,6,3,1,2
549,1,1,0,1,1,1,1,6,3,1,3
550,0,2,6,0,0,0,1,6,3,1,2
551,1,1,2,1,0,0,1,6,3,1,2
552,2,1,1,0,0,0,1,6,3,1,3
553,5,1,6,0,2,0,1,6,3,1,4
554,1,1,0,1,0,0,1,6,3,1,3
555,9,1,0,0,0,2,1,6,3,1,2
556,1,1,3,0,0,2,1,6,3,1,3
557,9,1,0,0,0,0,1,6,3,1,2
558,1,2,0,1,0,0,1,6,3,1,2
559,1,1,1,1,2,2,1,6,3,1,2
560,1,1,0,0,0,0,1,6,3,1,3
561,1,1,1,1,2,0,1,6,3,1,2
562,1,1,0,0,2,2,1,6,3,1,3
563,0,1,6,1,0,0,1,6,3,1,3
564,0,0,6,0,1,1,1,6,3,1,2
565,0,1,1,0,2,0,1,6,3,1,2
566,1,1,3,1,0,0,1,6,3,1,3
567,9,1,7,0,0,0,1,6,3,1,2
568,0,2,6,0,0,0,1,6,3,1,1
569,10,1,6,1,1,1,1,6,3,1,3
570,2,1,5,0,1,1,1,6,3,1,3
571,9,1,5,0,1,1,1,6,3,1,2
572,1,1,2,1,2,0,1,6,3,1,4
573,5,1,0,1,2,2,1,6,3,1,4
574,3,1,3,0,0,0,1,6,3,1,3
575,0,1,3,0,0,0,1,6,3,1,3
576,0,0,3,0,0,0,1,6,3,1,3
577,7,1,3,1,0,2,1,6,3,1,2
578,4,1,6,0,0,0,1,6,3,1,3
579,1,1,7,0,0,0,1,6,3,1,2
