MSSubClass,LotFrontage,LotArea,Street,LotConfig,Condition1,YearBuilt,RoofStyle,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,Heating,HeatingQC,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,OpenPorchSF,YrSold,SalePrice
story_finished_attic,75,9525,Pave,Inside,Norm,1954,Gable,TA,CBlock,TA,Fa,No,994,GasA,Gd,4,1,TA,7,Typ,0,Attchd,0,2006,136900
split,NA,7750,Pave,Inside,Norm,2000,Gable,TA,PConc,Gd,TA,No,384,GasA,Ex,3,1,TA,7,Typ,1,BuiltIn,0,2010,180000
story_new,77,9965,Pave,Inside,Norm,2007,Gable,TA,PConc,Ex,TA,Av,1264,GasA,Ex,4,1,Ex,10,Typ,1,BuiltIn,184,2007,383970
old_new,NA,21000,Pave,Corner,Norm,1953,Hip,Gd,CBlock,Gd,TA,Mn,1809,GasA,TA,3,1,Gd,7,Typ,2,Basment,120,2007,217000
story_old,61,7259,Pave,Inside,Norm,1945,Gambrel,TA,CBlock,TA,TA,No,1028,GasA,Ex,3,1,Gd,9,Typ,1,Detchd,0,2007,259500
story_new,34,3230,Pave,Corner,Norm,1999,Gable,TA,PConc,Gd,TA,No,729,GasA,Gd,2,1,TA,5,Typ,1,Detchd,32,2007,176000
old_new,NA,11616,Pave,Inside,Norm,1962,Gable,TA,CBlock,TA,TA,No,1092,GasA,TA,3,1,TA,6,Typ,1,Attchd,20,2009,139000
old_new,74,8536,Pave,Corner,Norm,2006,Gable,TA,PConc,Gd,TA,No,1125,GasA,Gd,2,1,TA,5,Typ,0,Attchd,64,2007,155000
story_new,90,12376,Pave,Corner,Norm,1990,Hip,TA,PConc,Gd,TA,Mn,1673,GasA,Gd,5,1,Gd,11,Typ,2,Attchd,0,2010,320000
story_new,65,8461,Pave,Inside,Norm,2005,Gable,TA,PConc,Gd,TA,No,728,GasA,Ex,3,1,Gd,8,Typ,1,Attchd,24,2006,163990
split,NA,21453,Pave,CulDSac,Norm,1969,Flat,TA,CBlock,TA,TA,Gd,938,GasA,Ex,1,1,TA,4,Typ,2,Attchd,130,2006,180000
story_finished_attic,50,6060,Pave,Inside,Norm,1939,Gable,TA,PConc,TA,TA,No,732,GasA,Gd,3,1,TA,4,Typ,0,Detchd,0,2007,100000
old_new,75,9464,Pave,Corner,Norm,1958,Hip,Gd,CBlock,TA,TA,No,1080,GasA,Gd,3,1,TA,5,Typ,0,Attchd,0,2008,136000
old_new,55,7892,Pave,Inside,Norm,1993,Gable,TA,PConc,Gd,TA,No,1199,GasA,Ex,2,1,Gd,5,Typ,0,Attchd,63,2008,153900
old_new,48,17043,Pave,CulDSac,Norm,1979,Gable,Gd,CBlock,Gd,Fa,No,1362,GasA,TA,3,1,TA,7,Typ,1,Attchd,0,2009,181000
duplex,60,6780,Pave,Inside,Norm,1935,Gable,Fa,CBlock,TA,TA,Av,520,GasA,Gd,2,1,TA,5,Typ,0,NA,0,2006,84500
old_new,NA,4928,Pave,Inside,Norm,1976,Gable,TA,CBlock,Gd,TA,No,1078,GasA,TA,2,1,TA,5,Typ,1,Attchd,205,2007,128000
story_finished_attic,55,4388,Pave,Inside,Feedr,1930,Gable,Gd,BrkTil,TA,TA,No,672,GasA,Ex,3,1,TA,5,Typ,1,NA,0,2007,87000
story_new,69,7590,Pave,Inside,PosN,1966,Gable,TA,CBlock,TA,TA,No,660,GasA,TA,3,1,TA,6,Typ,1,Attchd,108,2006,155000
old_new,69,8973,Pave,Inside,Norm,1958,Gable,TA,CBlock,TA,TA,No,1008,GasA,TA,3,1,Ex,6,Typ,0,2Types,80,2006,150000
story_new,88,14200,Pave,Corner,Norm,1966,Gable,TA,CBlock,TA,TA,No,924,GasA,Ex,4,1,Gd,8,Typ,2,Attchd,66,2006,226000
story_new,NA,12224,Pave,Corner,Norm,2000,Gable,TA,PConc,Gd,TA,No,992,GasA,Ex,3,1,Gd,7,Typ,1,BuiltIn,48,2009,244000
old_new,75,7388,Pave,Corner,Norm,1959,Gable,TA,CBlock,TA,TA,No,1063,GasA,Gd,3,1,Gd,7,Typ,0,Detchd,0,2007,150750
old_new,NA,6853,Pave,Inside,Norm,2001,Gable,TA,PConc,Ex,TA,No,1267,GasA,Ex,2,1,Gd,6,Typ,0,Attchd,25,2009,220000
old_new,78,10335,Pave,Inside,Norm,1968,Gable,TA,CBlock,TA,TA,No,1461,GasA,Gd,3,1,TA,7,Min1,1,Attchd,96,2006,180000
old_new,80,10400,Pave,Inside,Norm,1970,Hip,TA,PConc,TA,TA,No,1304,GasA,Gd,3,1,TA,7,Typ,1,Attchd,0,2008,174000
old_new,NA,10355,Pave,Corner,Norm,1967,Gable,TA,CBlock,TA,TA,No,1214,GasA,TA,3,1,TA,5,Typ,1,Attchd,111,2007,143000
duplex,82,11070,Pave,Inside,Norm,1988,Gable,TA,CBlock,TA,TA,No,1907,GasA,Gd,5,2,TA,9,Typ,0,2Types,0,2006,171000
story_new,73,9066,Pave,Inside,Norm,1999,Gable,TA,PConc,Gd,TA,Mn,1004,GasA,Ex,3,1,Gd,7,Typ,2,Attchd,106,2008,230000
story_new,65,15426,Pave,Inside,Norm,1997,Gable,TA,PConc,Gd,TA,No,928,GasA,Ex,3,1,Gd,7,Typ,0,Attchd,99,2009,231500
old_new,70,10500,Pave,FR2,Norm,1971,Gable,TA,CBlock,TA,TA,No,864,GasA,TA,3,1,TA,5,Typ,1,NA,0,2010,115000
old_new,78,11645,Pave,Inside,Norm,2005,Gable,TA,PConc,Gd,TA,Av,1734,GasA,Ex,3,1,Gd,7,Typ,0,Attchd,24,2006,260000
story_finished_attic,71,8520,Pave,Corner,Artery,1952,Gable,Fa,CBlock,TA,TA,No,910,GasA,Fa,4,1,TA,6,Typ,0,Detchd,0,2010,166000
old_new,78,10335,Pave,Inside,Norm,1999,Gable,TA,PConc,Gd,TA,Gd,1490,GasA,Ex,3,1,Gd,6,Typ,0,Attchd,29,2009,204000
duplex,70,9100,Pave,Inside,RRAe,1963,Gable,TA,CBlock,TA,TA,No,1728,GasA,TA,6,2,TA,10,Typ,0,Detchd,0,2006,125000
story_new,24,2522,Pave,Inside,Norm,2004,Gable,TA,PConc,Gd,TA,No,970,GasA,Ex,3,1,Gd,7,Maj1,0,Detchd,40,2006,130000
old_old,51,6120,Pave,Corner,Norm,1931,Gable,TA,BrkTil,TA,TA,No,715,GasA,TA,2,1,TA,5,Typ,0,Detchd,0,2009,105000
story_new,NA,9505,Pave,CulDSac,Norm,2001,Gable,TA,PConc,Gd,TA,No,884,GasA,Ex,3,1,Gd,8,Typ,1,BuiltIn,48,2010,222500
old_new,63,7500,Pave,Inside,Norm,2004,Gable,TA,PConc,Gd,TA,No,1080,GasA,Ex,3,1,Gd,6,Typ,0,NA,0,2008,141000
story_finished_attic,NA,6240,Pave,Inside,Norm,1936,Gable,TA,BrkTil,Gd,TA,No,896,GasA,Gd,3,1,TA,7,Typ,0,Detchd,114,2006,115000
old_new,120,10356,Pave,Corner,Norm,1975,Gable,TA,CBlock,TA,TA,Av,969,GasA,TA,3,1,TA,5,Typ,0,Attchd,0,2007,122000
old_new,107,13891,Pave,Inside,Norm,2007,Hip,TA,PConc,Ex,TA,Gd,1710,GasA,Ex,2,1,Gd,6,Typ,1,Attchd,102,2008,372402
story_new,NA,14803,Pave,CulDSac,Norm,1971,Gable,TA,CBlock,TA,TA,No,825,GasA,Gd,4,1,TA,8,Typ,1,Attchd,66,2006,190000
old_new,NA,13500,Pave,Inside,Norm,1960,Flat,TA,CBlock,Gd,TA,Gd,1602,GasA,Gd,1,1,TA,4,Typ,1,Attchd,0,2008,235000
old_old,84,11340,Pave,Corner,Norm,1923,Gable,TA,BrkTil,TA,TA,No,1200,GasA,TA,4,1,TA,7,Typ,0,Detchd,0,2006,125000
story_finished_attic,60,9600,Pave,Corner,Artery,1924,Gable,TA,BrkTil,TA,TA,No,572,Grav,Fa,2,1,TA,5,Typ,0,NA,8,2008,79000
old_new,60,7200,Pave,Inside,Norm,1950,Hip,TA,CBlock,NA,NA,NA,0,GasA,TA,2,1,TA,5,Typ,0,Detchd,0,2006,109500
story_new,92,12003,Pave,Corner,Norm,2009,Gable,TA,PConc,Ex,TA,No,774,GasA,Ex,4,1,Ex,8,Typ,1,BuiltIn,75,2010,269500
story_new,100,12552,Pave,Corner,Norm,2004,Gable,TA,PConc,Gd,TA,No,991,GasA,Ex,3,1,Gd,8,Typ,1,Attchd,136,2010,254900
story_new,134,19378,Pave,Corner,Norm,2005,Gable,TA,PConc,Gd,TA,Mn,1392,GasA,Ex,4,1,Gd,9,Typ,1,Attchd,132,2006,320000
old_new,NA,11120,Pave,CulDSac,Norm,1984,Gable,TA,PConc,Gd,TA,No,1232,GasA,TA,3,1,TA,6,Typ,0,Attchd,0,2008,162500
